ISCO08,Description,Definitions,Tasks include,Subgroups
835,Ships' deck crews and related workers,Ships deck crews and related workers carry out deck duties on board ships and similar duties on board other water-borne craft.,"Tasks performed usually include: standing look-out watches at sea and when entering or leaving harbour or other narrow waters; steering ship according to instructions; handling ropes and wires, and operating mooring equipment; maintaining and, in some cases, operating ship?s equipment, cargo gear, rigging, lifesaving and firefighting appliances; performing deck and hull cleaning, scraping, painting and other maintenance duties as required; breaking out, rigging and stowing cargo-handling gear, stationary rigging and running gear.",Occupations in this minor group are classified into the following unit groups: 8350 Ships' Deck Crews and Related Workers
911,"Domestic, hotel and office cleaners and helpers","Domestic, hotel and office cleaners and helpers sweep, vacuum clean, wash, polish, take care of household linen, purchase household supplies; perform various tasks in order to keep clean and tidy the interiors and fixtures of hotels, offices and other establishments, as well as of aircraft, trains, buses and similar vehicles.","Tasks performed usually include: sweeping or vacuum cleaning, washing and polishing floors, furniture and other objects in hotels, offices and other establishments; making beds, supplying towels, soap and related items; helping with preparation of meals and washing dishes; cleaning, disinfecting and deodorising kitchens, bathrooms and toilets.","Occupations in this minor group are classified into the following unit groups: 9111 Domestic Cleaners and Helpers 9112 Cleaners and Helpers in Offices, Hotels and Other Establishments"
912,"Vehicle, window, laundry and other hand cleaning workers","Vehicle, window, laundry and other hand cleaning workers clean windows, showcases or other surfaces of buildings or vehicles; and press, launder or dry-clean linen and other textiles by hand.","Tasks performed usually include: cleaning, washing and polishing cars; washing windows or other glass surfaces with water or various solutions, drying and polishing them; laundering and pressing linen, clothing, fabrics and similar articles by hand in a laundry or other establishments; cleaning by hand and with chemical solutions clothing, fabrics, leather goods and similar articles in dry-cleaning or other establishments.",Occupations in this minor group are classified into the following unit groups: 9121 Hand Launderers and Pressers 9122 Vehicle Cleaners 9123 Window Cleaners 9129 Other Cleaning Workers
921,"Agricultural, forestry and fishery labourers","Agricultural, forestry and fishery labourers perform simple and routine tasks in the production of crops and livestock, cultivation and maintenance of gardens and parks, exploitation and conservation of forests, and conduct of aquaculture and fisheries operations.","Tasks performed usually include: digging, raking and shovelling using hand tools; loading, unloading and stacking supplies, produce and other materials; watering, thinning, weeding and tending crops by hand or using hand tools; planting, harvesting picking and collecting produce by hand; feeding, watering and cleaning animals and keeping their quarters clean; monitoring livestock and reporting on their condition; preparing and operating nets, lines and other fishing tackle and deck equipment; grading, sorting, bunching and packing produce into containers; performing minor repairs on fixtures, buildings, equipment, vessels and fences.",Occupations in this minor group are classified into the following unit groups: 9211 Crop Farm Labourers 9212 Livestock Farm Labourers 9213 Mixed Crop and Livestock Farm Labourers 9214 Garden and Horticultural Labourers 9215 Forestry Labourers 9216 Fishery and Aquaculture Labourers
931,Mining and construction labourers,"Mining and construction labourers perform simple and routine manual tasks in mining, quarrying, civil engineering and building operations.","Tasks performed usually include: digging and filling holes and trenches using hand-held tools; shovelling and spreading excavated materials, sand, soil and gravel; sorting, loading, unloading, stacking and storing tools, materials and equipment and transporting them around work sites; cleaning machinery, equipment, tools and work sites and removing obstructions.",Occupations in this minor group are classified into the following unit groups: 9311 Mining and Quarrying Labourers 9312 Civil Engineering Labourers 9313 Building Construction Labourers
932,Manufacturing labourers,Manufacturing labourers perform a variety of simple and routine manual tasks in manufacturing to assist the work of machine operators and assemblers.,"Tasks performed usually include: packing material and various products by hand; filling bottles, boxes, bags and other containers with products by hand; labelling products and containers by hand; loading and unloading vehicles; conveying goods, material, equipment to work area; cleaning machinery, equipment and tools; sorting of products or components by hand.",Occupations in this minor group are classified into the following unit groups: 9321 Hand Packers 9329 Manufacturing Labourers Not Elsewhere Classified
933,Transport and storage labourers,"Transport and storage labourers propel cycles and similar vehicles and drive animal-drawn vehicles to transport passengers or goods, drive animal-drawn machinery, handle freight and baggage, and stock shelves.",Tasks performed usually include: propelling cycles and similar vehicles to transport passengers or goods; driving animal-drawn vehicles to transport passengers or goods; driving animal-drawn machinery; carrying out freight handling by hand; stocking shelves and display areas in stores.,Occupations in this minor group are classified into the following unit groups: 9331 Hand and Pedal Vehicle Drivers 9332 Drivers of Animal-drawn Vehicles and Machinery 9333 Freight Handlers 9334 Shelf Fillers
941,Food preparation assistants,"Food preparation assistants prepare and cook to order small variety of pre-cooked food or beverages, clear tables, clean kitchen areas and wash dishes.","Tasks performed usually include: preparing simple or pre-prepared foods and beverages such as sandwiches, pizzas, fish and chips, salads, and coffee; washing, cutting, measuring and mixing foods for cooking; operating cooking equipment such as grills, microwaves and deep-fat fryers; cleaning kitchens, food preparation areas and service areas; cleaning cooking and general utensils used in kitchens and restaurants.",Occupations in this minor group are classified into the following unit groups: 9411 Fast Food Preparers 9412 Kitchen Helpers
951,Street and related service workers,"Street and related service workers provide a variety of services on streets and in other public places, including cleaning shoes, washing car windows, running errands, looking after property, and providing other on-the-spot street services.",Tasks performed usually include: obtaining the materials necessary to perform services; approaching people on the street to offer services; cleaning and polishing shoes; cleaning and polishing car windows; running errands; assisting drivers to find a parking place and ensuring car is not damaged during driver?s absence; handing out leaflets and free newspapers; receiving immediate payment.,Occupations in this minor group are classified into the following unit group: 9510 Street and Related Service Workers
952,Street vendors (excluding food),"Street vendors (excluding food) sell a usually limited range of goods (excluding food for immediate consumption) in streets and public places such as stations, cinemas or theatres.","Tasks performed usually include: buying or receiving items for sale, or making simple items; loading and unloading baskets, trays, suitcases, push-carts, bicycles, hand trucks or other vehicles, to transport goods to the streets or public places such as stations or cinemas; displaying goods or calling out to attract customer?s attention; approaching potential customers on streets, or by going from house to house, to offer goods for sale; receiving immediate payment.",Occupations in this minor group are classified into the following unit groups: 9520 Street Vendors (excluding Food)
961,Refuse workers,"Refuse workers collect, process and recycle garbage from buildings, yards, streets and other public places, or keep streets and other public places clean.","Tasks performed usually include: collecting, loading and unloading garbage; sweeping streets, parks and other public places; sorting and recycling garbage such as paper, glass, plastic or aluminium.",Occupations in this minor group are classified into the following unit groups: 9611 Garbage and Recycling Collectors 9612 Refuse Sorters 9613 Sweepers and Related Labourers
962,Other elementary workers,"Other elementary workers deliver and carry messages and packages, perform a variety of simple maintenance and repair tasks, collect money and stock vending machines, read meters; collect water and firewood; and collect and issue tickets for parking or events.","Tasks performed usually include: chopping wood and collecting water and firewood; cleaning and maintaining buildings, grounds and facilities; delivering messages, packages and other items within or between establishments, or elsewhere; performing duties as a post-runner; issuing and collecting tickets and passes; calculating parking charges; filling storage areas of vending machines and collecting money from containers; reading electricity, gas or water meters and recording consumption.","Occupations in this minor group are classified into the following unit groups: 9621 Messengers, Package Deliverers and Luggage Porters 9622 Odd Job Persons 9623 Meter Readers and Vending-machine Collectors 9624 Water and Firewood Collectors 9629 Elementary Workers Not Elsewhere Classified"
11,Commissioned Armed Forces Officers,Commissioned armed forces officers provide leadership and management to organizational units in the armed forces and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. This group includes all members of the armed forces holding the rank of second lieutenant (or equivalent) or higher.,,Occupations in this minor group are classified into the following unit group: 0110 Commissioned Armed Forces Officers
21,Non-comissioned armed forces officers,"Non-commissioned armed forces officers enforce military discipline and supervise the activities of those employed in Sub-major Group 03: Armed forces Occupations, Other Ranks, and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces. This group includes members of the armed forces holding ranks such as sergeant, warrant officer and sergeant major.",,Occupations in this minor group are classified into the following unit group: 0210 Non-commissioned Armed Forces Officers
31,"Armed forces occupations, other ranks","Armed forces occupations, other ranks include all conscripted and non-conscripted members of the armed forces except commissioned and non-commissioned officers. They perform specific military tasks and/or perform similar tasks to those performed in a variety of civilian occupations outside the armed forces.",,"Occupations in this minor group are classified into the following unit group: 0310 Armed Forces Occupations, Other Ranks"
